SE No.,Book Title,Author,Publication Year,Original Language,Genre,No. of Words,Time,Reading Ease (no.),Reading Ease (Category),Translated By,Illustrated by,Part of a Series,Cover Page Artwork Adapted from,Cover Page Artwork Completed in,Cover Page Artist,Typefaces (on the cover and the title pages),Typefaces created by,Release Date and Time (on Standard Ebooks),Download (or Read Online)
0000942,Victory Odes,Pindar,-444,Greek,Poetry,"43,104",2 hours 37 minutes,59.57,Average difficulty,Arthur S. Way,,No,The Wrestlers,1853,Gustave Courbet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 29, 2024, 5:24 p.m.",Download
0000943,On the Art of Reading,Arthur Quiller-Couch,1920,English,Nonfiction,"62,288",3 hours 47 minutes,60.69,Average difficulty,,,No,The Quiet Hour,1913,Albert Chevallier Tayler,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 31, 2024, 4:04 p.m.",Download
0000944,Chivalry,James Branch Cabell,1921,English,Fiction,"58,713",3 hours 34 minutes,70.33,Fairly easy,,,Yes,"Chivalry, Book Illustration",1909,Howard Pyle,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 5, 2024, 1:57 a.m.",Download
0000945,The Greene Murder Case,S. S. Van Dine,1928,English,"Fiction, Mystery","95,183",5 hours 47 minutes,74.9,Fairly easy,,,Yes,In the Library,1928,Józef Rapacki,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 5, 2024, 2:49 a.m.",Download
0000946,A Day at a Time,Archibald Alexander,1916,English,Spirituality,"39,420",2 hours 24 minutes,76.45,Fairly easy,,,No,The Rock of Salvation,1837,Samuel Colman,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 5, 2024, 4:34 a.m.",Download
0000947,The Mysteries of Udolpho,Ann Radcliffe,1794,English,Fiction,"292,858",17 hours 45 minutes,50.91,Fairly difficult,,,No,View of Bentheim Castle,1650,Jacob van Ruisdael,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 5, 2024, 5:50 p.m.",Download
0000948,The White Feather,P. G. Wodehouse,1907,English,Fiction,"45,878",2 hours 47 minutes,84.47,Easy,,,No,Boat by the Shore,1888,Torsten Gideon Wasastjerna,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 6, 2024, 3:47 p.m.",Download
0000949,The Marrow of Tradition,Charles W. Chesnutt,1901,English,Fiction,"91,137",5 hours 32 minutes,70.13,Fairly easy,,,No,The True America,1874,Enoch Wood Perry,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 7, 2024, 5:03 p.m.",Download
0000950,Essays,Errico Malatesta,1891-1920,"Italian, French","Nonfiction, Philosophy","34,718",2 hours 7 minutes,39.2,Difficult,"Free Society Library, F. A. B., Industrial Syndicalist Education League, Norman Matson, Freedom Press",,No,Strike,1910,Stanisław Lentz,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 7, 2024, 5:41 p.m.",Download
0000951,The Cords of Vanity,James Branch Cabell,1920,English,"Comedy, Fiction","88,909",5 hours 24 minutes,70.23,Fairly easy,,,Yes,Les Belles de Nuit,1905,Jean Béraud,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 7, 2024, 9:04 p.m.",Download
0000952,Orley Farm,Anthony Trollope,1862,English,Fiction,"312,972",18 hours 59 minutes,80.21,Easy,,,No,Selly Manor,1864-75,Henry Baker,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 13, 2024, 8:24 p.m.",Download
0000953,Behind a Mask,Louisa May Alcott,1866,English,Fiction,"41,342",2 hours 31 minutes,79.9,Easy,,,No,The Tea-Party,1927,Henry Lamb,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 15, 2024, 5:08 p.m.",Download
0000954,Calvary,Octave Mirbeau,1886,French,Fiction,"80,749",4 hours 54 minutes,71.14,Fairly easy,Louis Rich,,No,Portrait of a Young Woman,1895,Franciszek Żmurko,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 23, 2024, 7:17 p.m.",Download
0000955,The Autobiography of Mark Rutherford,Mark Rutherford,1881,English,Fiction,"43,074",2 hours 37 minutes,65.46,Average difficulty,,,No,Henri Fantin-Latour,1861,Charles Auguste Émile Durand,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 24, 2024, 6:27 p.m.",Download
0000956,The Just Men of Cordova,Edgar Wallace,1917,English,"Adventure, Fiction","52,222",3 hours 10 minutes,75,Fairly easy,,,Yes,A Spanish Garden,1871,Martín Rico y Ortega,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 24, 2024, 6:44 p.m.",Download
0000957,The Circular Staircase,Mary Roberts Rinehart,1908,English,"Fiction, Mystery","70,945",4 hours 18 minutes,73.88,Fairly easy,,,No,Room Interior with Winding Staircase,1912,Francis Davis Millet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 27, 2024, 5:04 a.m.",Download
0000958,Poetry,Mina Loy,1914-24,English,Poetry,"15,501",57 minutes,42.45,Difficult,,,No,La Danseuse Obsédante,1911,Gino Severini,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 29, 2024, 8:07 p.m.",Download
0000959,Human Nature and Conduct,John Dewey,1922,English,"Nonfiction, Philosophy","82,183",4 hours 59 minutes,41.6,Difficult,,,No,Memories of a Journey,1911,Gino Severini,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 5, 2024, 8:28 p.m.",Download
0000960,Plague of Pythons,Frederik Pohl,1962,English,Science Fiction,"40,295",2 hours 27 minutes,74.79,Fairly easy,,,No,Based on Leaf Forms and Spaces,1912,Arthur Dove,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 7, 2024, 8:41 p.m.",Download
0000961,Culture and Anarchy,Matthew Arnold,1869,English,"Nonfiction, Philosophy","64,754",3 hours 56 minutes,42.08,Difficult,,,No,"The Sacred Grove, Beloved of the Arts and the Muses",1884-89,Pierre Puvis de Chavannes,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 9, 2024, 7:02 p.m.",Download
0000962,The Law of the Four Just Men,Edgar Wallace,1921,English,"Adventure, Fiction, Shorts","55,058",3 hours 21 minutes,73.98,Fairly easy,,,Yes,Ludgate Hill,1884,Wilhelm Trübner,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 14, 2024, 3:39 a.m.",Download
0000963,Mark Rutherford’s Deliverance,Mark Rutherford,1885,English,Fiction,"49,875",3 hours 2 minutes,65.56,Average difficulty,,,No,Portrait of Isaac de Bruijn,1922,Jan Veth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 14, 2024, 4:11 a.m.",Download
0000964,The Well of the Saints,J. M. Synge,1905,English,Drama,"16,195",59 minutes,88.57,Easy,,,No,Man Holding a Staff,1800,Thomas Barker,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 15, 2024, 4:04 p.m.",Download
0000965,Melmoth the Wanderer,Charles Robert Maturin,1820,English,"Fiction, Horror","241,244",14 hours 38 minutes,62.11,Average difficulty,,,No,Shipwreck Off a Rocky Coast,1810,Thomas Buttersworth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 15, 2024, 6:17 p.m.",Download
0000966,Call Mr. Fortune,H. C. Bailey,1920,English,"Fiction, Mystery, Shorts","55,680",3 hours 23 minutes,79.16,Easy,,,Yes,Self-Portrait with Masks,1900,Wojciech Weiss,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 15, 2024, 6:29 p.m.",Download
0000967,World’s End,Richard Jefferies,1877,English,Fiction,"127,470",7 hours 44 minutes,69.11,Fairly easy,,,No,Broadway from the Post Office,1906,Colin Campbell Cooper,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 15, 2024, 6:45 p.m.",Download
0000968,Ghost Stories,E. F. Benson,1912-23,English,"Fiction, Horror, Shorts","156,277",9 hours 29 minutes,67.69,Average difficulty,,,No,Friedhofseingang,1825,Caspar David Friedrich,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 16, 2024, 3:06 a.m.",Download
0000969,Short Fiction,H. Beam Piper (with John J. McGuire),1947-62,English,"Science Fiction, Shorts","384,537",23 hours 19 minutes,64.2,Average difficulty,,,No,La Rivolta,1911,Luigi Russolo,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 20, 2024, 9:24 p.m.",Download
0000970,The Economic Consequences of the Peace,John Maynard Keynes,1920,English,Nonfiction,"59,798",3 hours 38 minutes,43.06,Difficult,,,No,Homeless,1890,Thomas Benjamin Kennington,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 21, 2024, 3:04 p.m.",Download
0000971,The Book of Jade,David Park Barnitz,1901,English,Poetry,"13,267",49 minutes,66.2,Average difficulty,,,No,"Pestilence, Right-Hand Section of the Triptych “Disaster”",1870,Adam Chmielowski,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 22, 2024, 8:54 p.m.",Download
0000972,The Three Just Men,Edgar Wallace,1925,English,"Adventure, Fiction","93,607",5 hours 41 minutes,74.19,Fairly easy,,,Yes,Landscape with Industrial Buildings by a River,1890,Hercules Brabazon Brabazon,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 23, 2024, 6:43 p.m.",Download
0000973,The Secret of the Old Mill,Franklin W. Dixon,1927,English,"Adventure, Children’s, Fiction, Mystery","41,797",2 hours 32 minutes,83.25,Easy,,,Yes,The Secret of the Old Mill,1927,Walter S. Rogers,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 26, 2024, 5:00 p.m.",Download
0000974,The Last Post,Ford Madox Ford,1928,English,Fiction,"70,508",4 hours 17 minutes,72.56,Fairly easy,,,Yes,The Hay-Wain,1821,John Constable,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 27, 2024, 7:29 p.m.",Download
0000975,David Harum,Edward Noyes Westcott,1898,English,"Comedy, Fiction","111,252",6 hours 45 minutes,77.37,Fairly easy,,,No,Bargaining for a Horse,1835,William Sidney Mount,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 27, 2024, 8:46 p.m.",Download
0000976,Candida,George Bernard Shaw,1898,English,Drama,"23,381",1 hour 26 minutes,77.53,Fairly easy,,,No,"Grace Charlotte Rose (Née Snow), Lady Rose",1866,Frederick Sandys,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 28, 2024, 3:39 p.m.",Download
0000977,The Absolute at Large,Karel Čapek,1922,Czech,Science Fiction,"50,365",3 hours 4 minutes,65.62,Average difficulty,Šárka B. Hrbková,,No,Sun,1943,Arthur Dove,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 28, 2024, 3:57 p.m.",Download
0000978,The Vampire,John William Polidori,1819,English,Horror,"11,004",41 minutes,52.57,Fairly difficult,,,No,Night-River Landscape with a Ruined Abbey,1839,John Laporte,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 28, 2024, 7:15 p.m.",Download
0000979,The Coming Race,Edward Bulwer-Lytton,1871,English,Science Fiction,"52,570",3 hours 12 minutes,49.59,Fairly difficult,,,No,The Warder of Paradise,1889,Franz von Stuck,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 1, 2024, 11:01 p.m.",Download
0000980,Mr. Incoul’s Misadventure,Edgar Saltus,1887,English,Fiction,"41,656",2 hours 32 minutes,70.73,Fairly easy,,,No,Portrait of a Man with a Cigarette,1900-1925,Anonymous,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 6, 2024, 5:15 p.m.",Download
0000981,Honeycomb,Dorothy M. Richardson,1917,English,Fiction,"49,733",3 hours 1 minute,73.78,Fairly easy,,,Yes,"Interior in Strandgade, Sunlight on the Floor",1901,Vilhelm Hammershøi,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 11, 2024, 12:11 a.m.",Download
0000982,The Missing Chums,Franklin W. Dixon,1928,English,"Adventure, Children’s, Fiction, Mystery","43,286",2 hours 38 minutes,83.66,Easy,,,Yes,The Missing Chums,1928,Walter S. Rogers,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 11, 2024, 12:18 a.m.",Download
0000983,The House Without Windows,Barbara Newhall Follett,1927,English,Fiction,"35,169",2 hours 8 minutes,79.8,Easy,,,No,Landscape with Waterfall,1668,Jacob van Ruisdael,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 13, 2024, 4:41 p.m.",Download
0000984,The Kural,Thiruvalluvar,450-500,Old Tamil,Philosophy,"38,661",2 hours 21 minutes,67.49,Average difficulty,V. V. S. Aiyar,,No,Maharaja Serfoji II Accompanied by His Minister,1800,An unknown artist,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 15, 2024, 6:13 p.m.",Download
0000985,The Sea Mystery,Freeman Wills Crofts,1928,English,"Fiction, Mystery","76,863",4 hours 40 minutes,75,Fairly easy,,,Yes,The Sea Mystery,1928,Harry Dixon,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 16, 2024, 4:07 p.m.",Download
0000986,Stover at Yale,Owen Johnson,1912,English,"Children’s, Fiction","100,478",6 hours 6 minutes,74.39,Fairly easy,,,Yes,"Touchdown, Yale vs. Princeton, Thanksgiving Day, Nov. 27, 1890, Yale 32, Princeton 0",1890,Frederic Remington,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 19, 2024, 5:07 p.m.",Download
0000987,Hunting for Hidden Gold,Franklin W. Dixon,1928,English,"Adventure, Children’s, Fiction, Mystery","43,416",2 hours 38 minutes,83.76,Easy,,,Yes,Hunting for Hidden Gold,1928,Walter S. Rogers,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 19, 2024, 5:41 p.m.",Download
0000988,The Shore Road Mystery,Franklin W. Dixon,1928,English,"Adventure, Children’s, Fiction, Mystery","40,589",2 hours 28 minutes,84.98,Easy,,,Yes,The Shore Road Mystery,1928,Walter S. Rogers,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 25, 2024, 6:13 p.m.",Download
0000989,The Food of the Gods,H. G. Wells,1904,English,Science Fiction,"75,713",4 hours 36 minutes,71.55,Fairly easy,,,No,The Feast of the Gods,1514-29,"Giovanni Bellini, Titian",League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 2, 2024, 5:52 p.m.",Download
0000990,Anne of the Island,L. M. Montgomery,1915,English,Fiction,"79,612",4 hours 50 minutes,75.1,Fairly easy,,,Yes,My Daughter Elisabeth,1914,Frank Weston Benson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 2, 2024, 6:58 p.m.",Download
0000991,Memoirs of a Revolutionist,Peter Kropotkin,1899,English,"Autobiography, Nonfiction","156,570",9 hours 30 minutes,54.56,Fairly difficult,,,No,"Porte de l’infirmerie de la prison Saint-Lazare, rue du Faubourg-Saint-Denis, 10ème arrondissement, en 1889",1889,Jean-Jacques Rousseau,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 3, 2024, 5:42 p.m.",Download
0000992,The Everlasting Man,G. K. Chesterton,1925,English,"Nonfiction, Philosophy, Spirituality","107,046",6 hours 30 minutes,54.26,Fairly difficult,,,No,Adoration of the Shepherds,1631,Anthony van Dyck,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 4, 2024, 7:58 p.m.",Download
0000993,The Financier,Theodore Dreiser,1912,English,Fiction,"198,137",12 hours 1 minute,71.75,Fairly easy,,,Yes,"The Ferries, New York",1900,Colin Campbell Cooper,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 4, 2024, 11:12 p.m.",Download
0000994,Pastors and Masters,Ivy Compton-Burnett,1925,English,Fiction,"30,797",1 hour 52 minutes,86.4,Easy,,,No,Sunset After a Storm on the Coast of Sicily,1853,Andreas Achenbach,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 10, 2024, 2:09 a.m.",Download
0000995,A Cycle of the West,John G. Neihardt,1915-25,English,Poetry,"87,046",5 hours 17 minutes,76.05,Fairly easy,,,No,Bear-Hunting in the Winter,1861,"Wilhelm Wallander, Alfred Wahlberg",League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 10, 2024, 2:30 a.m.",Download
0000996,Lay Down Your Arms,Bertha von Suttner,1889,German,Fiction,"153,772",9 hours 20 minutes,68.91,Average difficulty,T. Holmes,,No,Bombing: Night,1918,William Orpen,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 10, 2024, 2:51 a.m.",Download
0000997,The Vortex,Noël Coward,1924,English,Drama,"17,190",1 hour 3 minutes,79.56,Easy,,,No,The Earring,1911,Ambrose McEvoy,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 13, 2024, 6:28 p.m.",Download
0000998,The Argonautica,Apollonius of Rhodes,-246,Greek,Poetry,"71,730",4 hours 21 minutes,59.71,Average difficulty,Arthur S. Way,,No,Jason and Medea,1907,John William Waterhouse,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 23, 2024, 8:34 p.m.",Download
0000999,The Well of Loneliness,Radclyffe Hall,1928,English,Fiction,"167,882",10 hours 11 minutes,67.49,Average difficulty,,,No,Étude de renard,1869,Rosa Bonheur,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 28, 2024, 3:18 a.m.",Download
0001000,Ulysses,James Joyce,1922,English,Fiction,"268,486",16 hours 17 minutes,74.9,Fairly easy,,,No,Ulysses with Calypso,1905,Maurice Denis,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 28, 2024, 4:49 a.m.",Download
0001001,Ozma of Oz,L. Frank Baum,1907,English,"Children’s, Fiction","39,047",2 hours 22 minutes,79.3,Easy,,,Yes,Desert Motif from the Journey to Egypt,1903,Jan Ciągliński,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 31, 2024, 4:22 a.m.",Download
0001002,Kusamakura,Natsume Sōseki,1906,Japanese,Fiction,"39,123",2 hours 23 minutes,70.73,Fairly easy,Takahashi Kazutomo,,No,La Japonaise,1894,George Henry,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 31, 2024, 4:43 p.m.",Download
0001003,Bambi,Felix Salten,1923,German,"Children’s, Fiction","41,553",2 hours 32 minutes,86.1,Easy,Whittaker Chambers,,No,"Stag, or Red Deer",1885,John George Wood,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 6, 2024, 3:52 p.m.",Download
0001004,The Luzumiyat,Abu al-ʻAlaʼ al-Maʻarri,1000-1099,Arabic,Poetry,"8,157",30 minutes,65.15,Average difficulty,Ameen Rihani,,No,Algerian Water Carrier,1874,William Sartain,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 10, 2024, 6:42 p.m.",Download
0001005,The Special Correspondent,Jules Verne,1892,French,"Adventure, Fiction","72,268",4 hours 23 minutes,71.14,Fairly easy,The Boy’s Own Paper,,Yes,Dans l’omnibus,1885,Maurice Delondre,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 10, 2024, 7:28 p.m.",Download
0001006,The Wyvern Mystery,J. Sheridan Le Fanu,1869,English,"Fiction, Mystery","130,749",7 hours 56 minutes,78.18,Fairly easy,,,No,A View Near Norwich,1850,Thomas Lound,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 14, 2024, 8:30 p.m.",Download
0001007,A Yankee in the Trenches,Robert Derby Holmes,1918,English,"Autobiography, Nonfiction","40,248",2 hours 27 minutes,81.22,Easy,,,No,A Group of Soldiers,1917,C. R. W. Nevinson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 19, 2024, 7:16 p.m.",Download
0001008,Aurora Floyd,M. E. Braddon,1863,English,Fiction,"186,328",11 hours 18 minutes,66.17,Average difficulty,,,No,Miss Muriel Lubbock,1898,Henry Scott Tuke,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 24, 2024, 6:51 p.m.",Download
0001009,The Coming of Bill,P. G. Wodehouse,1919,English,Satire,"86,412",5 hours 15 minutes,75.61,Fairly easy,,,No,Mother and Son,1922,W. Beckwith McInnes,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 30, 2024, 12:54 a.m.",Download
0001010,Exiles,James Joyce,1918,English,Drama,"26,528",1 hour 37 minutes,88.84,Easy,,,No,"Interior from Rudolfina Wasastjerna’s Home in Helsinki, Pohjoisranta 6",1889,Torsten Wasastjerna,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 5, 2024, 10:07 p.m.",Download
0001011,Short Fiction,Cordwainer Smith,1928-55,English,"Science Fiction, Shorts","19,977",1 hour 13 minutes,75.91,Fairly easy,,,No,"Rouen Cathedral, West Façade, Sunlight",1894,Claude Monet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 6, 2024, 12:24 a.m.",Download
0001012,Histories,Herodotus,-430,Ancient Greek,Nonfiction,"288,127",17 hours 28 minutes,43.33,Difficult,G. C. Macaulay,,No,Priestess of Delphi,1891,John Collier,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 6, 2024, 1:45 a.m.",Download
0001013,A Start in Life,Honoré de Balzac,1845,French,Fiction,"59,622",3 hours 37 minutes,68.3,Average difficulty,Clara Bell,,Yes,Portrait of Charles Pemberton,1800-50,Anonymous,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 6, 2024, 6:13 p.m.",Download
0001014,Short Fiction,Tanizaki Jun’ichirō,1915,Japanese,"Fiction, Shorts","33,383",2 hours 2 minutes,75.44,Fairly easy,"Ijichi Sumimasa, Iwadō Z. Tamotsu",,No,"Carnation, Lily, Lily, Rose",1886,John Singer Sargent,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 9, 2024, 4:59 p.m.",Download
0001015,Bertram Cope’s Year,Henry Blake Fuller,1919,English,Fiction,"73,062",4 hours 26 minutes,73.68,Fairly easy,,,No,Summer Evening,1899-1900,Richard Bergh,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 14, 2024, 7:29 p.m.",Download
0001016,A Voice from the South,Anna Julia Cooper,1892,English,"Nonfiction, Philosophy","60,708",3 hours 41 minutes,52.73,Fairly difficult,,,No,Portrait of a Lady,1947,Laura Wheeler Waring,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 15, 2024, 4:50 p.m.",Download
0001017,Mrs. Warren’s Profession,George Bernard Shaw,1898,English,Drama,"35,659",2 hours 10 minutes,74.9,Fairly easy,,,No,The Englishman at the Moulin Rouge,1892,Henri de Toulouse-Lautrec,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 15, 2024, 4:59 p.m.",Download
0001018,Short Fiction,Walter M. Miller Jr.,1952-55,English,"Science Fiction, Shorts","55,029",3 hours 21 minutes,76.93,Fairly easy,,,No,Blue and Green Music,1921,Georgia O’Keeffe,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 15, 2024, 6:40 p.m.",Download
0001019,The Blue Lagoon,H. de Vere Stacpoole,1908,English,"Adventure, Fiction","63,138",3 hours 50 minutes,77.87,Fairly easy,,,No,"Man of War Rocks, Coast of Dorset",1884,John Brett,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 15, 2024, 7:05 p.m.",Download
0001020,The Case of Charles Dexter Ward,H. P. Lovecraft,1941,English,Horror,"44,824",2 hours 43 minutes,53.75,Fairly difficult,,,No,A Neat & Shriveled Gentleman,1906,Howard Pyle,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 16, 2024, 7:09 p.m.",Download
0001021,The Cloven Foot,M. E. Braddon,1879,English,Fiction,"162,921",9 hours 53 minutes,71.24,Fairly easy,,,No,Danseuses prés d’un portant,1880,Edgar Degas,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 20, 2024, 4:02 p.m.",Download
0001022,Don Juan,Lord Byron,1824,English,Poetry,"135,062",8 hours 12 minutes,60.08,Average difficulty,,,No,Don Juan et Haïdée,1839,Marcel Saunier,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 20, 2024, 5:20 p.m.",Download
0001023,The New State,Mary Parker Follett,1918,English,"Nonfiction, Philosophy","103,467",6 hours 17 minutes,49.04,Fairly difficult,,,No,Simultaneous Visions,1911,Umberto Boccioni,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 22, 2024, 4:51 p.m.",Download
0001024,The Leavenworth Case,Anna Katharine Green,1878,English,"Fiction, Mystery","111,460",6 hours 46 minutes,71.04,Fairly easy,,,Yes,"Still Life of Newspaper, Pipe, Decanter and Jar",1887,Claude Pratt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 22, 2024, 5:07 p.m.",Download
0001025,How the Other Half Lives,Jacob Riis,1890,English,Nonfiction,"80,125",4 hours 52 minutes,64.44,Average difficulty,,,No,Lower New York,1924,John R. Grabach,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 31, 2024, 5:37 p.m.",Download
0001026,Jean-Christophe,Romain Rolland,1904-12,French,Fiction,"598,591",36 hours 17 minutes,70.63,Fairly easy,Gilbert Cannan,,No,The Musician,1914,Louis Marcoussis,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 1, 2024, 3:57 a.m.",Download
0001027,The American Senator,Anthony Trollope,1877,English,Fiction,"211,364",12 hours 49 minutes,80.62,Easy,,,No,Manuel García,1905,John Singer Sargent,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 5, 2024, 4:47 a.m.",Download
0001028,The Titan,Theodore Dreiser,1914,English,Fiction,"197,587",11 hours 59 minutes,64,Average difficulty,,,Yes,Charles Tyson Yerkes,1893,Jan Van Beers,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 5, 2024, 6:04 p.m.",Download
0001029,The Little Nugget,P. G. Wodehouse,1913,English,Satire,"72,724",4 hours 25 minutes,76.52,Fairly easy,,,No,One Dollar Silver Certificate,1910,Victor Dubreuil,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 5, 2024, 6:46 p.m.",Download
0001030,The Borough Treasurer,J. S. Fletcher,1921,English,"Fiction, Mystery","78,382",4 hours 46 minutes,72.97,Fairly easy,,,No,Petersfield Square,1940,William Gunning King,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 8, 2024, 4:55 p.m.",Download
0001031,Tarzan and the Golden Lion,Edgar Rice Burroughs,1923,English,"Adventure, Fiction","80,886",4 hours 55 minutes,67.28,Average difficulty,,,Yes,Tarzan and the Golden Lion,1922,J. Allen St. John,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 12, 2024, 7:53 p.m.",Download
0001032,Washington Square,Henry James,1880,English,Fiction,"65,051",3 hours 57 minutes,73.17,Fairly easy,,,No,"Symphony in White, No. 2: The Little White Girl",1864,James Abbott McNeill Whistler,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 12, 2024, 8:02 p.m.",Download
0001033,Emily of New Moon,L. M. Montgomery,1923,English,"Children’s, Fiction","117,416",7 hours 7 minutes,73.58,Fairly easy,,,Yes,Woman Standing by a Tree,1866,Auguste Renoir,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 12, 2024, 8:28 p.m.",Download
0001034,Russian Folktales,A. N. Afanasyev,1855-63,Russian,"Fantasy, Shorts","102,427",6 hours 13 minutes,79.3,Easy,Leonard A. Magnus,,No,Ivan Zarevitsh,1880,Viktor Vasnetsov,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 18, 2024, 3:14 a.m.",Download
0001035,A Daughter of Eve,Honoré de Balzac,1838,French,Fiction,"45,678",2 hours 47 minutes,67.49,Average difficulty,Ellen Marriage,,Yes,Girls at the Piano,1892,Auguste Renoir,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 21, 2024, 4:59 p.m.",Download
0001036,Edward II,Christopher Marlowe,1593,English,Drama,"23,609",1 hour 26 minutes,74.19,Fairly easy,,,No,Edward II and Gaveston,1872,Marcus Stone,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 23, 2024, 7:01 p.m.",Download
